March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Drake (Exec. Ass't),1.5,1.5,0.0,$56.25,$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Goodrich,3.5,3.5,0.0,$822.50,$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Joyce,21.1,19.6,1.5,"$4,606.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Meares,2.8,2.8,0.0,$658.00,$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Ramsey,14.5,11.0,3.5,"$2,585.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Smoot,14.1,14.1,0.0,"$3,313.50",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Villasenor,22.9,16.8,6.1,"$3,948.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Kelly,9.30,7.6,1.7,"$1,786.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Dupont,31.0,23.0,8.0,"$5,405.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Bowman,11.1,11.1,0.0,"$2,608.50",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Maxey,20.5,17.5,3.0,"$4,112.50",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Total,556.90,496.80,60.1,"$91,284.75",$279.49,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
June,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Thompson,77.3,53.1,24.2,"$25,222.50",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Rosenthal,69.6,32.7,36.9,"$15,532.50",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Aden,58.5,50.0,8.5,"$11,750.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Barge,30.5,28.5,2.0,"$6,697.50",$295.47,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Bethel,16.0,14.0,2.0,"$3,290.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Wasileski,6.0,6.0,0.0,"$1,200.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
CJI: Zafft,8.0,8.0,0.0,"$1,080.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Drake,29.8,26.6,3.2,"$6,251.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Drake (Exec. Ass't),33.9,33.9,0.0,"$1,271.25",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Goodrich,2.0,2.0,0.0,$470.00,$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Joyce,38.0,33.0,5.0,"$7,755.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Meares,2.0,2.0,0.0,$470.00,$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
O'Toole,3.8,3.8,0.0,$893.00,$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Ramsey,37.0,33.0,4.0,"$7,755.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Smoot,67.7,51.7,16.0,"$12,149.50",$858.56,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Villasenor,39.6,36.6,3.0,"$8,601.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Darnyle Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Dupont,18.9,14.7,4.2,"$3,454.50",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Bowman,23.4,17.8,5.6,"$4,183.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Maxey,13.8,10.8,3.0,"$2,538.00",$0.00,data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
Total,770.8,653.2,117.6,"$127,763.75","$1,154.03",data/pdfs/page-4/2020/June+2020+Invoice+Package(49681312.1).pdf
August,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Thompson,65.6,51.9,13.7,"$24,652.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Rosenthal,60.9,42.0,18.9,"$19,950.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Aden,37.5,34.0,3.5,"$7,990.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Barge,23.2,20.8,2.4,"$4,888.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Bethel,2.0,2.0,0.0,$470.00,$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
CJI: Wasileski,20.0,20.0,0.0,"$4,000.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
CJI: Zafft,20.0,20.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Drake,8.0,5.5,2.5,"$1,292.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Drake (Exec. Ass't),15.3,15.3,0.0,$573.75,$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Joyce,31.4,26.4,5.0,"$6,204.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
O'Toole,0.3,0.3,0.0,$70.50,$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Ramsey,20.1,17.1,3.0,"$4,018.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Smoot,16.1,13.5,2.6,"$3,172.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Villasenor,33.7,29.6,4.1,"$6,956.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Darnyle Wharton,55.0,55.0,0.0,"$4,125.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Ray Kelly,20.1,17.10,3.00,"$4,018.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Dupont,56.8,28.8,28.0,"$6,768.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Bowman,20.3,11.9,8.4,"$2,796.50",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Maxey,21.7,17.2,4.5,"$4,042.00",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
Total,663.0,563.4,99.6,"$111,388.25",$0.00,data/pdfs/page-4/2020/August+2020+Invoice+Package(50073499.1).pdf
September,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Thompson,35.8,28.3,7.5,"$13,442.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Rosenthal,53.7,36.7,17.0,"$17,432.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Aden,36.0,32.0,4.0,"$7,520.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Barge,16.3,14.7,1.6,"$3,454.50",$670.94,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Bethel,2.5,2.5,0.0,$587.50,$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
CJI: Wasileski,32.0,32.0,0.0,"$6,400.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
CJI: Zafft,35.0,35.0,0.0,"$4,725.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Drake,8.5,7.5,1.0,"$1,762.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Drake (Exec. Ass't),5.5,5.5,0.0,$206.25,$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Goodrich,7.1,7.1,0.0,"$1,668.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Joyce,33.4,29.1,4.3,"$6,838.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Ramsey,25.1,18.8,6.3,"$4,418.00",$185.20,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Smoot,10.0,9.0,1.0,"$2,115.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Villasenor,19.7,15.2,4.5,"$3,572.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Darnyle Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Ray Kelly,18.9,14.35,4.55,"$3,372.25",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Dupont,27.3,6.4,20.9,"$1,504.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Bowman,18.3,15.8,2.5,"$3,713.00",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Maxey,23.1,20.1,3.0,"$4,723.50",$0.00,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
Total,603.2,525.05,78.15,"$94,655.50",$856.14,data/pdfs/page-4/2020/September+2020+Invoice+Package(50241372.1).pdf
